Dummy,ClimateID, WeatherID,jday,date,Hour,Srad,wind,RH,rain,tmax,tmin,temperature,CO2
Del,Del,Del,98,4/8/2006,15,0.246,,99,0,,,6.95,
Del,Del,Del,98,4/8/2006,16,0.173,,98,0,,,6.69,
Del,Del,Del,98,4/8/2006,17,0.07,,98,0,,,6.01,
Del,Del,Del,98,4/8/2006,18,0.007,,98,0,,,5.45,
Del,Del,Del,98,4/8/2006,19,0,,98,0,,,4.94,
Del,Del,Del,98,4/8/2006,20,0,,98,0,,,4.6,
Del,Del,Del,98,4/8/2006,21,-0.001,,95,0,,,4.31,
Del,Del,Del,98,4/8/2006,22,-0.001,,90,0,,,3.74,
Del,Del,Del,98,4/8/2006,23,-0.001,,85,0,,,3.8,
Del,Del,Del,99,4/9/2006,0,0,,86,0,,,3.99,
Del,Del,Del,99,4/9/2006,1,0,,78,0,,,4.03,
Del,Del,Del,99,4/9/2006,2,0,,75,0,,,3.92,
Del,Del,Del,99,4/9/2006,3,0,,73,0,,,3.47,
Del,Del,Del,99,4/9/2006,4,0,,72,0,,,3.08,
Del,Del,Del,99,4/9/2006,5,0.002,,71,0,,,2.62,
Del,Del,Del,99,4/9/2006,6,0.138,,72,0,,,2.18,
Del,Del,Del,99,4/9/2006,7,0.422,,71,0,,,2.26,
Del,Del,Del,99,4/9/2006,8,1.357,,68,0,,,4.02,
Del,Del,Del,99,4/9/2006,9,2.104,,61,0,,,6.25,
Del,Del,Del,99,4/9/2006,10,2.79,,52,0,,,7.82,
Del,Del,Del,99,4/9/2006,11,3.041,,45,0,,,9.17,
Del,Del,Del,99,4/9/2006,12,3.13,,35,0,,,10.5,
Del,Del,Del,99,4/9/2006,13,2.979,,30,0,,,11.67,
Del,Del,Del,99,4/9/2006,14,2.665,,27,0,,,12.42,
Del,Del,Del,99,4/9/2006,15,2.065,,26,0,,,12.97,
Del,Del,Del,99,4/9/2006,16,1.393,,27,0,,,12.84,
Del,Del,Del,99,4/9/2006,17,0.77,,28,0,,,12.38,
Del,Del,Del,99,4/9/2006,18,0.133,,34,0,,,10.74,
Del,Del,Del,99,4/9/2006,19,0,,57,0,,,6.62,
Del,Del,Del,99,4/9/2006,20,0,,70,0,,,4.04,
Del,Del,Del,99,4/9/2006,21,0,,81,0,,,2.01,
Del,Del,Del,99,4/9/2006,22,0,,85,0,,,1.18,
Del,Del,Del,99,4/9/2006,23,0,,89,0,,,0.1,
Del,Del,Del,100,4/10/2006,0,0,,91,0,,,-0.4,
Del,Del,Del,100,4/10/2006,1,0,,94,0,,,-1.1,
Del,Del,Del,100,4/10/2006,2,0,,96,0,,,-1.46,
Del,Del,Del,100,4/10/2006,3,0,,98,0,,,-1.61,
Del,Del,Del,100,4/10/2006,4,0,,100,0,,,-2.04,
Del,Del,Del,100,4/10/2006,5,0.014,,101,0,,,-1.81,
Del,Del,Del,100,4/10/2006,6,0.305,,100,0,,,-0.29,
Del,Del,Del,100,4/10/2006,7,0.873,,88,0,,,4.46,
Del,Del,Del,100,4/10/2006,8,1.551,,57,0,,,8.95,
Del,Del,Del,100,4/10/2006,9,2.304,,37,0,,,12.33,
Del,Del,Del,100,4/10/2006,10,2.733,,31,0,,,13.84,
Del,Del,Del,100,4/10/2006,11,2.996,,26,0,,,15.28,
Del,Del,Del,100,4/10/2006,12,3.064,,25,0,,,15.9,
Del,Del,Del,100,4/10/2006,13,2.907,,21,0,,,16.71,
Del,Del,Del,100,4/10/2006,14,2.598,,20,0,,,17.49,
Del,Del,Del,100,4/10/2006,15,2.006,,18,0,,,17.94,
Del,Del,Del,100,4/10/2006,16,1.343,,19,0,,,18.24,
Del,Del,Del,100,4/10/2006,17,0.708,,27,0,,,16.13,
Del,Del,Del,100,4/10/2006,18,0.122,,31,0,,,13.33,
Del,Del,Del,100,4/10/2006,19,0,,39,0,,,10.71,
Del,Del,Del,100,4/10/2006,20,0,,45,0,,,9.14,
Del,Del,Del,100,4/10/2006,21,0,,54,0,,,7.35,
Del,Del,Del,100,4/10/2006,22,0,,64,0,,,5.91,
Del,Del,Del,100,4/10/2006,23,-0.001,,67,0,,,5.87,
Del,Del,Del,101,4/11/2006,0,0,,82,0,,,3.5,
Del,Del,Del,101,4/11/2006,1,0,,91,0,,,2.94,
Del,Del,Del,101,4/11/2006,2,0,,93,0,,,2.68,
Del,Del,Del,101,4/11/2006,3,0,,98,0,,,1.34,
Del,Del,Del,101,4/11/2006,4,0,,100,0,,,0.93,
Del,Del,Del,101,4/11/2006,5,0.009,,101,0,,,1.04,
Del,Del,Del,101,4/11/2006,6,0.404,,100,0,,,3.06,
Del,Del,Del,101,4/11/2006,7,0.991,,79,0,,,9.28,
Del,Del,Del,101,4/11/2006,8,1.591,,44,0,,,12.88,
Del,Del,Del,101,4/11/2006,9,2.274,,31,0,,,15.73,
Del,Del,Del,101,4/11/2006,10,2.738,,25,0,,,17.61,
Del,Del,Del,101,4/11/2006,11,2.977,,22,0,,,18.49,
Del,Del,Del,101,4/11/2006,12,3.052,,19,0,,,19.52,
Del,Del,Del,101,4/11/2006,13,2.911,,17,0,,,20.33,
Del,Del,Del,101,4/11/2006,14,2.587,,17,0,,,20.46,
Del,Del,Del,101,4/11/2006,15,1.948,,17,0,,,20.47,
Del,Del,Del,101,4/11/2006,16,1.397,,19,0,,,19.95,
Del,Del,Del,101,4/11/2006,17,0.652,,22,0,,,18.52,
Del,Del,Del,101,4/11/2006,18,0.154,,25,0,,,15.51,
Del,Del,Del,101,4/11/2006,19,0,,31,0,,,12.93,
Del,Del,Del,101,4/11/2006,20,0,,34,0,,,11.38,
Del,Del,Del,101,4/11/2006,21,0,,39,0,,,9.98,
Del,Del,Del,101,4/11/2006,22,0,,52,0,,,9.26,
Del,Del,Del,101,4/11/2006,23,0,,60,0,,,8.81,
Del,Del,Del,102,4/12/2006,0,0,,66,0,,,8.91,
Del,Del,Del,102,4/12/2006,1,0,,70,0,,,9.1,
Del,Del,Del,102,4/12/2006,2,0,,71,0,,,9.01,
Del,Del,Del,102,4/12/2006,3,0,,79,0,,,9.05,
Del,Del,Del,102,4/12/2006,4,0,,89,0,,,9.63,
Del,Del,Del,102,4/12/2006,5,0.011,,92,0,,,9.51,
Del,Del,Del,102,4/12/2006,6,0.35,,92,0,,,10.32,
Del,Del,Del,102,4/12/2006,7,0.902,,83,0,,,13.25,
Del,Del,Del,102,4/12/2006,8,1.584,,69,0,,,15.92,
Del,Del,Del,102,4/12/2006,9,2.258,,55,0,,,18.82,
Del,Del,Del,102,4/12/2006,10,2.613,,44,0,,,20.26,
Del,Del,Del,102,4/12/2006,11,2.868,,35,0,,,21.17,
Del,Del,Del,102,4/12/2006,12,2.353,,28,0,,,21.6,
Del,Del,Del,102,4/12/2006,13,1.414,,26,0,,,21.18,
Del,Del,Del,102,4/12/2006,14,1.123,,32,0,,,21,
Del,Del,Del,102,4/12/2006,15,1.137,,38,0,,,20.57,
Del,Del,Del,102,4/12/2006,16,1.046,,40,0,,,19.83,
Del,Del,Del,102,4/12/2006,17,0.479,,44,0,,,18.71,
Del,Del,Del,102,4/12/2006,18,0.093,,49,0,,,17.19,
Del,Del,Del,102,4/12/2006,19,0,,59,0,,,16.01,
Del,Del,Del,102,4/12/2006,20,0,,64,0,,,15.47,
Del,Del,Del,102,4/12/2006,21,0,,66,0,,,15.33,
Del,Del,Del,102,4/12/2006,22,0,,69,0,,,15.14,
Del,Del,Del,102,4/12/2006,23,0,,71,0,,,15.2,
Del,Del,Del,103,4/13/2006,0,0,,70,0,,,16,
Del,Del,Del,103,4/13/2006,1,0,,68,0,,,16.8,
Del,Del,Del,103,4/13/2006,2,0,,68,0,,,16.81,
Del,Del,Del,103,4/13/2006,3,0,,68,0,,,16.5,
Del,Del,Del,103,4/13/2006,4,0,,68,0,,,16.35,
Del,Del,Del,103,4/13/2006,5,0.003,,72,0,,,15.57,
Del,Del,Del,103,4/13/2006,6,0.148,,80,0,,,14.66,
Del,Del,Del,103,4/13/2006,7,0.372,,78,0,,,15.24,
Del,Del,Del,103,4/13/2006,8,0.756,,75,0,,,16.03,
Del,Del,Del,103,4/13/2006,9,1.84,,67,0,,,17.71,
Del,Del,Del,103,4/13/2006,10,2.666,,57,0,,,20.1,
Del,Del,Del,103,4/13/2006,11,2.832,,46,0,,,21.72,
Del,Del,Del,103,4/13/2006,12,2.994,,44,0,,,22.89,
Del,Del,Del,103,4/13/2006,13,2.61,,43,0,,,23.5,
Del,Del,Del,103,4/13/2006,14,1.112,,45,0,,,22.73,
Del,Del,Del,103,4/13/2006,15,0.737,,48,0,,,21.6,
Del,Del,Del,103,4/13/2006,16,1.18,,46,0,,,22.83,
Del,Del,Del,103,4/13/2006,17,0.638,,43,0,,,23.31,
Del,Del,Del,103,4/13/2006,18,0.103,,53,0,,,21.05,
Del,Del,Del,103,4/13/2006,19,0,,72,0,,,16.65,
Del,Del,Del,103,4/13/2006,20,0,,85,0,,,13.69,
Del,Del,Del,103,4/13/2006,21,0,,88,0,,,12.18,
Del,Del,Del,103,4/13/2006,22,0,,92,0,,,10.88,
Del,Del,Del,103,4/13/2006,23,0,,88,0,,,11.78,
Del,Del,Del,104,4/14/2006,0,0,,89,0,,,11.93,
Del,Del,Del,104,4/14/2006,1,0,,90,0,,,13.12,
Del,Del,Del,104,4/14/2006,2,0,,95,0,,,10.87,
Del,Del,Del,104,4/14/2006,3,0,,99,0,,,9.72,
