Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
RWBU1501	2014-10-08	281	100	20	0.112	22	.	.
RWBU1501	2014-11-20	324	100	20	0.120	24	.	.
RWBU1501	2014-12-04	338	100	20	0.162	32	.	.
RWBU1501	2014-12-21	355	100	20	0.140	28	.	.
RWBU1501	2015-01-08	8	100	20	0.118	24	.	.
RWBU1501	2015-02-09	40	100	20	0.136	27	.	.
RWBU1401	2013-10-04	277	15	15	0.116	17	.	.
RWBU1401	2013-10-30	303	15	15	0.068	10	.	.
RWBU1401	2013-11-13	317	15	15	0.067	10	.	.
RWBU1401	2013-11-26	330	15	15	0.121	18	.	.
RWBU1401	2013-12-17	351	15	15	0.131	20	.	.
RWBU1401	2014-01-29	29	15	15	0.065	10	.	.
RWBU1401	2013-10-04	277	25	10	0.163	16	.	.
RWBU1401	2013-10-30	303	25	10	0.104	10	.	.
RWBU1401	2013-11-13	317	25	10	0.091	9	.	.
RWBU1401	2013-11-26	330	25	10	0.156	16	.	.
RWBU1401	2013-12-17	351	25	10	0.171	17	.	.
RWBU1401	2014-01-29	29	25	10	0.105	11	.	.
RWBU1401	2013-10-04	277	35	10	0.151	15	.	.
RWBU1401	2013-10-30	303	35	10	0.102	10	.	.
RWBU1401	2013-11-13	317	35	10	0.086	9	.	.
RWBU1401	2013-11-26	330	35	10	0.136	14	.	.
RWBU1401	2013-12-17	351	35	10	0.145	15	.	.
RWBU1401	2014-01-29	29	35	10	0.096	10	.	.
RWBU1401	2013-10-04	277	50	15	0.157	24	.	.
RWBU1401	2013-10-30	303	50	15	0.102	15	.	.
RWBU1401	2013-11-13	317	50	15	0.085	13	.	.
RWBU1401	2013-11-26	330	50	15	0.130	20	.	.
RWBU1401	2013-12-17	351	50	15	0.146	22	.	.
RWBU1401	2014-01-29	29	50	15	0.091	14	.	.
RWBU1401	2013-10-04	277	80	30	0.121	36	.	.
RWBU1401	2013-10-30	303	80	30	0.103	31	.	.
RWBU1401	2013-11-13	317	80	30	0.081	24	.	.
RWBU1401	2013-11-26	330	80	30	0.080	24	.	.
RWBU1401	2013-12-17	351	80	30	0.113	34	.	.
RWBU1401	2014-01-29	29	80	30	0.083	25	.	.
RWBU1401	2013-10-04	277	100	20	0.108	22	.	.
RWBU1401	2013-10-30	303	100	20	0.103	21	.	.
RWBU1401	2013-11-13	317	100	20	0.102	20	.	.
RWBU1401	2013-11-26	330	100	20	0.099	20	.	.
RWBU1401	2013-12-17	351	100	20	0.104	21	.	.
RWBU1401	2014-01-29	29	100	20	0.098	20	.	.
MANT1001	2010-06-01	152	10	10	0.231	23	.	.
MANT1001	2010-06-11	162	10	10	0.211	21	.	.
MANT1001	2010-06-20	171	10	10	0.173	17	.	.
MANT1001	2010-06-30	181	10	10	0.197	20	.	.
MANT1001	2010-07-10	191	10	10	0.148	15	.	.
MANT1001	2010-07-20	201	10	10	0.175	18	.	.
MANT1001	2010-07-30	211	10	10	0.235	24	.	.
MANT1001	2010-08-09	221	10	10	0.241	24	.	.
MANT1001	2010-08-19	231	10	10	0.226	23	.	.
MANT1001	2010-08-30	242	10	10	0.216	22	.	.
MANT1001	2010-09-08	251	10	10	0.221	22	.	.
MANT1001	2010-06-01	152	20	10	0.231	23	.	.
MANT1001	2010-06-11	162	20	10	0.211	21	.	.
MANT1001	2010-06-20	171	20	10	0.173	17	.	.
MANT1001	2010-06-30	181	20	10	0.197	20	.	.
MANT1001	2010-07-10	191	20	10	0.148	15	.	.
MANT1001	2010-07-20	201	20	10	0.175	18	.	.
MANT1001	2010-07-30	211	20	10	0.235	24	.	.
MANT1001	2010-08-09	221	20	10	0.241	24	.	.
MANT1001	2010-08-19	231	20	10	0.226	23	.	.
MANT1001	2010-08-30	242	20	10	0.216	22	.	.
MANT1001	2010-09-08	251	20	10	0.221	22	.	.
MANT1001	2010-06-01	152	30	10	0.241	24	.	.
MANT1001	2010-06-11	162	30	10	0.220	22	.	.
MANT1001	2010-06-20	171	30	10	0.193	19	.	.
MANT1001	2010-06-30	181	30	10	0.216	22	.	.
MANT1001	2010-07-10	191	30	10	0.175	18	.	.
MANT1001	2010-07-20	201	30	10	0.190	19	.	.
MANT1001	2010-07-30	211	30	10	0.241	24	.	.
MANT1001	2010-08-09	221	30	10	0.249	25	.	.
MANT1001	2010-08-19	231	30	10	0.240	24	.	.
MANT1001	2010-08-30	242	30	10	0.232	23	.	.
MANT1001	2010-09-08	251	30	10	0.233	23	.	.
MANT1001	2010-06-01	152	40	10	0.204	20	.	.
MANT1001	2010-06-11	162	40	10	0.206	21	.	.
MANT1001	2010-06-20	171	40	10	0.192	19	.	.
MANT1001	2010-06-30	181	40	10	0.206	21	.	.
MANT1001	2010-07-10	191	40	10	0.185	19	.	.
MANT1001	2010-07-20	201	40	10	0.195	20	.	.
MANT1001	2010-07-30	211	40	10	0.243	24	.	.
MANT1001	2010-08-09	221	40	10	0.248	25	.	.
MANT1001	2010-08-19	231	40	10	0.242	24	.	.
MANT1001	2010-08-30	242	40	10	0.231	23	.	.
MANT1001	2010-09-08	251	40	10	0.236	24	.	.
MANT1001	2010-06-01	152	60	20	0.160	32	.	.
MANT1001	2010-06-11	162	60	20	0.167	33	.	.
MANT1001	2010-06-20	171	60	20	0.172	34	.	.
MANT1001	2010-06-30	181	60	20	0.183	37	.	.
MANT1001	2010-07-10	191	60	20	0.177	35	.	.
MANT1001	2010-07-20	201	60	20	0.175	35	.	.
MANT1001	2010-07-30	211	60	20	0.229	46	.	.
MANT1001	2010-08-09	221	60	20	0.239	48	.	.
MANT1001	2010-08-19	231	60	20	0.228	46	.	.
MANT1001	2010-08-30	242	60	20	0.213	43	.	.
MANT1001	2010-09-08	251	60	20	0.227	45	.	.
MANT1001	2010-06-01	152	80	20	0.200	40	.	.
MANT1001	2010-06-11	162	80	20	0.193	39	.	.
MANT1001	2010-06-20	171	80	20	0.200	40	.	.
MANT1001	2010-06-30	181	80	20	0.195	39	.	.
MANT1001	2010-07-10	191	80	20	0.205	41	.	.
MANT1001	2010-07-20	201	80	20	0.203	41	.	.
MANT1001	2010-07-30	211	80	20	0.246	49	.	.
MANT1001	2010-08-09	221	80	20	0.264	53	.	.
MANT1001	2010-08-19	231	80	20	0.261	52	.	.
MANT1001	2010-08-30	242	80	20	0.245	49	.	.
MANT1001	2010-09-08	251	80	20	0.240	48	.	.
GHKP0801	2008-05-04	125	15	15	0.294	44	.	.
GHKP0801	2008-05-18	139	15	15	0.277	42	.	.
GHKP0801	2008-06-01	153	15	15	0.261	39	.	.
GHKP0801	2008-06-15	167	15	15	0.283	42	.	.
GHKP0801	2008-06-29	181	15	15	0.254	38	.	.
GHKP0801	2008-05-04	125	30	15	0.345	52	.	.
GHKP0801	2008-05-18	139	30	15	0.310	47	.	.
GHKP0801	2008-06-01	153	30	15	0.296	44	.	.
GHKP0801	2008-06-15	167	30	15	0.329	49	.	.
GHKP0801	2008-06-29	181	30	15	0.265	40	.	.
ETBA1401	2014-01-26	26	15	15	.	.	.	.
