Site.Name	Experiment.Name	Year	Day.of.year	Date	Yield	Biom	LAI	CroN	CroP	SoilWTot.MaxMeasDepth	SoilNTot.MaxMeasDepth
RWBU	RWBU1501	2014	338	2014-12-04	.	.	.	.	.	152	.
RWBU	RWBU1501	2014	324	2014-11-20	.	.	.	.	.	154	.
RWBU	RWBU1501	2014	281	2014-10-08	.	.	.	.	.	114	.
RWBU	RWBU1501	2015	35	2015-02-04	2.69	4.84	.	.	.	.	.
RWBU	RWBU1401	2014	29	2014-01-29	.	.	.	.	.	88	.
RWBU	RWBU1401	2013	351	2013-12-17	.	.	.	.	.	128	.
RWBU	RWBU1401	2013	330	2013-11-26	.	.	.	.	.	110	.
RWBU	RWBU1401	2013	317	2013-11-13	.	.	.	.	.	85	.
RWBU	RWBU1401	2013	303	2013-10-30	.	.	.	.	.	98	.
RWBU	RWBU1401	2013	277	2013-10-04	.	.	.	.	.	131	.
RWBU	RWBU1401	2014	22	2014-01-22	4.35	9.62	.	.	.	.	.
BEOU	BEOU1501	2015	189	2015-07-08	.	0.03	.	0.7	.	.	.
BEOU	BEOU1501	2015	196	2015-07-15	.	0.05	.	1.4	.	136	20
BEOU	BEOU1501	2015	203	2015-07-22	.	0.25	.	7.3	.	151	72
BEOU	BEOU1501	2015	210	2015-07-29	.	0.7	.	14.1	.	145	72
BEOU	BEOU1501	2015	224	2015-08-12	.	2.39	.	24.1	.	170	47
BEOU	BEOU1501	2015	238	2015-08-26	.	3.17	.	24.1	.	152	56
BEOU	BEOU1501	2015	252	2015-09-09	.	4.15	.	39.8	.	167	66
BEOU	BEOU1501	2015	266	2015-09-23	1.66	4.87	.	50.6	.	166	65
BEOU	BEOU1501	2015	278	2015-10-05	.	.	.	.	.	148	60
BEOU	BEOU1401	2014	265	2014-09-22	1.35	4.24	.	40.6	.	.	.
