Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
RWBU1401	2014-01-29	29	25	10	0.105	11	na	na
RWBU1401	2013-10-04	277	35	10	0.151	15	na	na
RWBU1401	2013-10-30	303	35	10	0.102	10	na	na
RWBU1401	2013-11-13	317	35	10	0.086	9	na	na
RWBU1401	2013-11-26	330	35	10	0.136	14	na	na
RWBU1401	2013-12-17	351	35	10	0.145	15	na	na
RWBU1401	2014-01-29	29	35	10	0.096	10	na	na
RWBU1401	2013-10-04	277	50	15	0.157	24	na	na
RWBU1401	2013-10-30	303	50	15	0.102	15	na	na
RWBU1401	2013-11-13	317	50	15	0.085	13	na	na
RWBU1401	2013-11-26	330	50	15	0.130	20	na	na
RWBU1401	2013-12-17	351	50	15	0.146	22	na	na
RWBU1401	2014-01-29	29	50	15	0.091	14	na	na
RWBU1401	2013-10-04	277	80	30	0.121	36	na	na
RWBU1401	2013-10-30	303	80	30	0.103	31	na	na
RWBU1401	2013-11-13	317	80	30	0.081	24	na	na
RWBU1401	2013-11-26	330	80	30	0.080	24	na	na
RWBU1401	2013-12-17	351	80	30	0.113	34	na	na
RWBU1401	2014-01-29	29	80	30	0.083	25	na	na
RWBU1401	2013-10-04	277	100	20	0.108	22	na	na
RWBU1401	2013-10-30	303	100	20	0.103	21	na	na
RWBU1401	2013-11-13	317	100	20	0.102	20	na	na
RWBU1401	2013-11-26	330	100	20	0.099	20	na	na
RWBU1401	2013-12-17	351	100	20	0.104	21	na	na
RWBU1401	2014-01-29	29	100	20	0.098	20	na	na
MANT1001	2010-06-01	152	10	10	0.231	23	na	na
MANT1001	2010-06-11	162	10	10	0.211	21	na	na
MANT1001	2010-06-20	171	10	10	0.173	17	na	na
MANT1001	2010-06-30	181	10	10	0.197	20	na	na
MANT1001	2010-07-10	191	10	10	0.148	15	na	na
MANT1001	2010-07-20	201	10	10	0.175	18	na	na
MANT1001	2010-07-30	211	10	10	0.235	24	na	na
MANT1001	2010-08-09	221	10	10	0.241	24	na	na
