               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  41806.0000  06/16/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41807.0000  06/17/2014       43.2874       42.4437        0.0000        0.0000        0.0000        0.0000
  41808.0000  06/18/2014       10.4000        9.2982        0.0000        0.0000        0.0000        0.0000
  41809.0000  06/19/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41810.0000  06/20/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41811.0000  06/21/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41812.0000  06/22/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41813.0000  06/23/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41814.0000  06/24/2014       73.5727       72.4232        0.0000        0.0000        0.0000        0.0000
  41815.0000  06/25/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41816.0000  06/26/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41817.0000  06/27/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41818.0000  06/28/2014       20.4692       19.5871        0.0000        0.0000        0.0000        0.0000
  41819.0000  06/29/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41820.0000  06/30/2014        3.5717        2.8103        0.0000        0.0000        0.0000        0.0000
  41821.0000  07/01/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41822.0000  07/02/2014       13.4867       12.6512        0.0000        0.0000        0.0000        0.0000
  41823.0000  07/03/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41824.0000  07/04/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41825.0000  07/05/2014       45.2651       44.3192        0.0000        0.0000        0.0000        0.0000
  41826.0000  07/06/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41827.0000  07/07/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41828.0000  07/08/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41829.0000  07/09/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41830.0000  07/10/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41831.0000  07/11/2014        0.4000        0.0037        0.0000        0.0000        0.0000        0.0000
  41832.0000  07/12/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41833.0000  07/13/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41834.0000  07/14/2014        1.7040        0.9664        0.0000        0.0000        0.0000        0.0000
  41835.0000  07/15/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41836.0000  07/16/2014        1.2780        0.6598        0.0000        0.0000        0.0000        0.0000
  41837.0000  07/17/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41838.0000  07/18/2014        0.4000        0.0205        0.0000        0.0000        0.0000        0.0000
  41839.0000  07/19/2014       66.3511       65.6012        0.0000        0.0000        0.0000        0.0000
  41840.0000  07/20/2014        0.0000        0.0003        0.0000        0.0000        0.0000        0.0000
  41841.0000  07/21/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41842.0000  07/22/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41843.0000  07/23/2014      133.7890      133.5186        0.0000        0.0000        0.0000        0.0000
  41844.0000  07/24/2014        0.0000        0.0006        0.0000        0.0000        0.0000        0.0000
  41845.0000  07/25/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41846.0000  07/26/2014        0.4000        0.0481        0.0000        0.0000        0.0000        0.0000
  41847.0000  07/27/2014       10.2007        9.7307        0.0000        0.0000        0.0000        0.0000
  41848.0000  07/28/2014        0.0000        0.0003        0.0000        0.0000        0.0000        0.0000
  41849.0000  07/29/2014        1.9269        1.6010        0.0000        0.0000        0.0000        0.0000
  41850.0000  07/30/2014        0.4000        0.0797        0.0000        0.0000        0.0000        0.0000
  41851.0000  07/31/2014       39.4312       39.0304        0.0000        0.0000        0.0000        0.0000
  41852.0000  08/01/2014       14.7894       14.3028        0.0000        0.0000        0.0000        0.0000
  41853.0000  08/02/2014        0.0000        0.0004        0.0000        0.0000        0.0000        0.0000
  41854.0000  08/03/2014       94.4026       94.0818        0.0000        0.0000        0.0000        0.0000
  41855.0000  08/04/2014        3.2000        2.7998        0.0000        0.0000        0.0000        0.0000
  41856.0000  08/05/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41857.0000  08/06/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41858.0000  08/07/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41859.0000  08/08/2014        1.9269        1.6450        0.0000        0.0000        0.0000        0.0000
  41860.0000  08/09/2014        4.3257        3.9955        0.0000        0.0000        0.0000        0.0000
  41861.0000  08/10/2014       51.8965       51.6269        0.0000        0.0000        0.0000        0.0000
  41862.0000  08/11/2014        0.0000        0.0016        0.0000        0.0000        0.0000        0.0000
  41863.0000  08/12/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41864.0000  08/13/2014       15.9834       15.8172        0.0000        0.0000        0.0000        0.0000
  41865.0000  08/14/2014        0.0000        0.0017        0.0000        0.0000        0.0000        0.0000
  41866.0000  08/15/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41867.0000  08/16/2014        8.5909        8.2906        0.0000        0.0000        0.0000        0.0000
  41868.0000  08/17/2014       73.2714       72.9841        0.0000        0.0000        0.0000        0.0000
  41869.0000  08/18/2014        0.0000        0.0021        0.0000        0.0000        0.0000        0.0000
  41870.0000  08/19/2014        4.3654        4.1351        0.0000        0.0000        0.0000        0.0000
  41871.0000  08/20/2014       75.8043       75.5989        0.0000        0.0000        0.0000        0.0000
  41872.0000  08/21/2014      208.7524      207.9575        0.0000        0.0000        0.0000        0.0000
  41873.0000  08/22/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41874.0000  08/23/2014      177.5097      176.9767        0.0000        0.0000        0.0000        0.0000
  41875.0000  08/24/2014        1.6000        1.2642        0.0000        0.0000        0.0000        0.0000
  41876.0000  08/25/2014        4.0000        3.7132        0.0000        0.0000        0.0000        0.0000
  41877.0000  08/26/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41878.0000  08/27/2014      132.9773      132.8128        0.0000        0.0000        0.0000        0.0000
  41879.0000  08/28/2014        0.0000        0.0015        0.0000        0.0000        0.0000        0.0000
  41880.0000  08/29/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41881.0000  08/30/2014        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  41882.0000  08/31/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  41883.0000  09/01/2014       74.4071       74.1686        0.0000        0.0000        0.0000        0.0000
  41884.0000  09/02/2014      120.5576      120.2237        0.0000        0.0000        0.0000        0.0000
  41885.0000  09/03/2014        0.8000        0.5199        0.0000        0.0000        0.0000        0.0000
  41886.0000  09/04/2014       12.4000       12.3702        0.0000        0.0000        0.0000        0.0000
  41887.0000  09/05/2014        0.0000        0.0005        0.0000        0.0000        0.0000        0.0000
  41888.0000  09/06/2014      168.4229      168.1445        0.0000        0.0000        0.0000        0.0000
  41889.0000  09/07/2014       50.0556       49.5977        0.0000        0.0000        0.0000        0.0000
  41890.0000  09/08/2014        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
