               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  42233.0000  08/17/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42234.0000  08/18/2015       51.3886       51.1217        0.0000        0.0000        0.0000        0.0000
  42235.0000  08/19/2015       23.0177       22.7519        0.0000        0.0000        0.0000        0.0000
  42236.0000  08/20/2015       14.0000       13.7279        0.0000        0.0000        0.0000        0.0000
  42237.0000  08/21/2015        0.0000        0.0006        0.0000        0.0000        0.0000        0.0000
  42238.0000  08/22/2015      131.5057      131.1227        0.0000        0.0000        0.0000        0.0000
  42239.0000  08/23/2015        0.0000        0.0017        0.0000        0.0000        0.0000        0.0000
  42240.0000  08/24/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42241.0000  08/25/2015        1.6000        1.2523        0.0000        0.0000        0.0000        0.0000
  42242.0000  08/26/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42243.0000  08/27/2015      350.9822      350.1440        0.0000        0.0000        0.0000        0.0000
  42244.0000  08/28/2015        0.0000        0.0009        0.0000        0.0000        0.0000        0.0000
  42245.0000  08/29/2015       13.2000       12.8579        0.0000        0.0000        0.0000        0.0000
  42246.0000  08/30/2015      225.4214      224.4280        0.0000        0.0000        0.0000        0.0000
  42247.0000  08/31/2015        0.4000        0.1236        0.0000        0.0000        0.0000        0.0000
  42248.0000  09/01/2015       10.4000       10.1155        0.0000        0.0000        0.0000        0.0000
  42249.0000  09/02/2015       89.0452       88.6360        0.0000        0.0000        0.0000        0.0000
  42250.0000  09/03/2015        0.0000        0.0002        0.0000        0.0000        0.0000        0.0000
